state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
KY,tract,perim,lcut,6,747218,754727,1306,3579,685,60.01,0.41,7.41,no_solution_found,23.6439494,600.03,9,1,1,331
KY,tract,invpp,lcut,6,747218,754727,1306,3579,685,60.01,0.42,10.94,no_solution_found,0.598670043,600.01,9,1,0,0
LA,tract,cut,lcut,6,772412,780174,1388,3861,729,60.01,0.5,8.46,184,19.5,600.01,9,1,2,0
LA,tract,perim,lcut,6,772412,780174,1388,3861,729,60.01,0.49,17.42,no_solution_found,28.58730837,600.03,9,1,0,0
LA,tract,invpp,lcut,6,772412,780174,1388,3861,729,60.01,0.51,46.58,no_solution_found,0.72456779,600.02,9,1,1,227
AL,tract,cut,lcut,7,714166,721342,1437,4014,782,60.85,0.6,9.26,no_solution_found,19.5,600.05,9,2,2,366
AL,tract,perim,lcut,7,714166,721342,1437,4014,782,60.02,0.58,26.51,48.49704271,20.33668651,600.05,9,1,2,0
AL,tract,invpp,lcut,7,714166,721342,1437,4014,782,60.03,0.57,67.5,2.35600698,0,600.02,9,1,2,0
SC,tract,cut,lcut,7,727548,734859,1323,3677,1187,60.04,0.71,3.98,198,14,600.04,9,3,2,0
SC,tract,perim,lcut,7,727548,734859,1323,3677,1183,60.02,0.75,16.64,no_solution_found,16.97841023,600.04,9,1,0,0
SC,tract,invpp,lcut,7,727548,734859,1323,3677,1177,60.02,0.71,60.36,2.546394887,0.35945782,600.03,9,1,2,0
MN,tract,cut,lcut,8,709746,716878,1505,4102,892,60.03,0.77,10.17,no_solution_found,26.5,600.02,9,1,0,0
MN,tract,perim,lcut,8,709746,716878,1505,4102,892,60.03,0.8,26.22,no_solution_found,35.12010804,600.02,9,1,0,0
MN,tract,invpp,lcut,8,709746,716878,1505,4102,892,60.03,0.8,138.39,no_solution_found,1.28E-06,600.01,9,1,0,0
