state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
OR,tract,perim,lcut,6,702679,709740,1001,2770,514,60.01,0.31,49.90923291,114.35,49.90923291,27.25665939,600.06,9,2,2,0
OR,tract,invpp,lcut,6,702679,709740,1001,2770,514,60.01,0.31,2.067950911,200.04,2.06795096,0.340635316,600.01,9,1,2,0
KY,tract,cut,lcut,6,747218,754727,1306,3579,685,60.01,0.41,127,205.09,127,15,600.04,9,8,2,0
KY,tract,perim,lcut,6,747218,754727,1306,3579,685,60.01,0.42,43.12806687,62.76,43.12806687,24.49228791,600.02,9,7,2,0
KY,tract,invpp,lcut,6,747218,754727,1306,3579,685,60.01,0.42,2.568658114,187.12,2.568658114,0.598470633,600.01,9,1,2,0
LA,tract,cut,lcut,6,772412,780174,1388,3861,729,60.01,0.48,156,243.4,156,20,600.07,9,2,2,0
LA,tract,perim,lcut,6,772412,780174,1388,3861,729,60.01,0.48,50.17012012,296.73,50.17012012,28.58705585,600.06,9,2,2,0
LA,tract,invpp,lcut,6,772412,780174,1388,3861,729,60.01,0.48,2.76211208,653.19,2.76211208,0.724073594,600.03,9,1,2,0
AL,tract,cut,lcut,7,714166,721342,1437,4014,782,60.02,0.58,175,177.37,175,20,600.06,9,1,2,0
AL,tract,perim,lcut,7,714166,721342,1437,4014,782,60.02,0.58,46.64369796,256.8,46.64369796,20.33775915,600.06,9,1,2,0
AL,tract,invpp,lcut,7,714166,721342,1437,4014,782,60.03,0.59,2.184505545,407.76,2.184505558,0,600.01,9,1,2,0
SC,tract,cut,lcut,7,727548,734859,1323,3677,1177,60.05,0.73,195,119.92,195,18,600.09,9,14,2,0
SC,tract,perim,lcut,7,727548,734859,1323,3677,1123,60.01,0.72,40.43657274,106.41,40.43657274,16.97716115,600.02,9,1,2,0
SC,tract,invpp,lcut,7,727548,734859,1323,3677,1177,60.02,0.71,2.399496341,588.31,2.399496341,0,600.02,9,1,2,0
MN,tract,cut,lcut,8,709746,716878,1505,4102,892,60.03,0.79,231,316.73,231,27,600.03,9,1,2,0
MN,tract,perim,lcut,8,709746,716878,1505,4102,892,60.03,0.77,62.36519717,271.98,62.36519717,35.12010804,600.04,9,1,2,0
MN,tract,invpp,lcut,8,709746,716878,1505,4102,892,60.03,0.77,2.077037706,757.39,2.077037706,1.28E-06,600.02,9,1,2,0
CO,tract,cut,lcut,8,718106,725322,1447,3909,996,60.03,0.72,209,213.87,209,21,600.05,9,1,2,0
CO,tract,perim,lcut,8,718106,725322,1447,3909,996,60.03,0.71,50.56600211,395.4,50.56600211,23.90384079,600.07,9,1,2,0
CO,tract,invpp,lcut,8,718106,725322,1447,3909,996,60.03,0.7,1.856851222,811.16,1.856851442,0,600.02,9,1,2,0
WI,tract,cut,lcut,8,733032,740398,1542,4253,1078,60.02,0.98,196,62.79,196,37,600.03,9,1,2,0
WI,tract,perim,lcut,8,733032,740398,1542,4253,1078,60.02,0.97,55.5132372,292.73,55.5132372,23.45146508,600.03,9,1,2,0
WI,tract,invpp,lcut,8,733032,740398,1542,4253,1078,60.01,0.96,1.896863123,904.94,1.896863181,0,600.02,9,1,2,0
MO,tract,cut,lcut,8,765518,773210,1654,4488,1031,60.01,1.32,197,115.06,197,17,600.03,9,1,2,0
MO,tract,perim,lcut,8,765518,773210,1654,4488,1031,60.01,1.26,56.34364141,178.58,56.34364141,26.09221659,606.76,9,1,2,0
MO,tract,invpp,lcut,8,765518,773210,1654,4488,1031,60.01,1.31,2.056443234,1007.85,2.056443234,0,600.01,9,1,2,0
MD,tract,cut,lcut,8,768293,776013,1475,3993,910,60.01,1.08,200,293.86,200,25,600.09,9,1,2,0
MD,tract,perim,lcut,8,768293,776013,1475,3993,910,60.01,1.23,27.23858564,214.9,27.23858564,15.04702419,600.04,9,1,2,0
MD,tract,invpp,lcut,8,768293,776013,1475,3993,910,60.03,1.04,2.883124658,334.62,2.883124672,0,600.01,9,1,2,0
IN,tract,cut,lcut,9,750178,757717,1696,4627,1062,60.01,1.72,215,316.38,215,29,600.14,9,1,2,0
IN,tract,perim,lcut,9,750178,757717,1696,4627,1062,60.01,1.74,44.8363596,506.71,44.8363596,17.166142,600.07,9,1,2,0
IN,tract,invpp,lcut,9,750178,757717,1696,4627,1062,60.01,1.69,2.186803933,325.02,2.186803933,0,600.02,9,1,2,0
TN,tract,cut,lcut,9,764032,771710,1701,4691,984,60.01,1.09,217,356.68,217,27,603.88,9,1,2,0
