state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
AR,county,invpp,shir,4,749117,756645,75,192,64,10.63,12.86,3.317646818,12.96,3.317646818,3.317646818,74.05,2,8004,0,0
AR,county,aveppbe,shir,4,749117,756645,75,192,64,9.03,11.63,0.318175055,242.61,0.318174362,0.412245232,3600.03,9,442737,0,0
AR,county,schwartzb,shir,4,749117,756645,75,192,64,7.92,11.22,1.851249244,248.61,1.851250559,1.752573734,3600.05,9,276534,0,0
ID,county,invpp,shir,2,914956,924150,44,102,41,0.02,0.83,3.600074704,0.2,3.496604048,3.496604048,0.35,2,1,0,0
ID,county,aveppbe,shir,2,914956,924150,44,102,41,0.02,0.81,0.294130325,1.25,0.31265831,0.31265831,1.5,2,1602,0,0
ID,county,schwartzb,shir,2,914956,924150,44,102,41,0.02,0.82,1.883961269,1.53,1.858428426,1.858428426,0.99,2,1335,0,0
IA,county,invpp,shir,4,793605,801580,99,222,85,60.02,8.02,2.172544791,10.25,2.172544791,2.172544791,126.33,2,11452,0,0
IA,county,aveppbe,shir,4,793605,801580,99,222,85,60.03,8.08,0.486642122,311.54,0.486641645,0.680938461,3600.05,9,278121,0,0
IA,county,schwartzb,shir,4,793605,801580,99,222,85,60.02,8.06,1.463730233,291.62,1.463730381,1.361328298,3600.07,9,269448,0,0
KS,county,invpp,shir,4,730798,738142,105,263,95,5.38,29.69,2.401246867,44.17,2.390296564,2.390296564,677.72,2,73018,0,0
KS,county,aveppbe,shir,4,730798,738142,105,263,95,9.66,29.98,0.43989298,519.38,0.439892292,0.622607268,3600.04,9,226000,0,0
KS,county,schwartzb,shir,4,730798,738142,105,263,95,5.17,29.05,1.569117196,334.17,1.569117399,1.31058334,3600.08,9,163070,0,0
ME,county,invpp,shir,2,677774,684585,16,34,13,0.01,0.06,2.897917221,0.04,2.89791722,2.89791722,0.06,2,1,0,0
ME,county,aveppbe,shir,2,677774,684585,16,34,13,0.01,0.06,0.349991798,0.36,0.349991798,0.349991798,0.4,2,1131,0,0
ME,county,schwartzb,shir,2,677774,684585,16,34,13,0.01,0.06,1.699327286,0.82,1.699327273,1.699327273,0.21,2,133,0,0
MS,county,invpp,shir,4,736619,744021,82,202,69,60.01,6.2,3.47464571,55.16,3.384737973,3.384737973,150.42,2,19212,0,0
MS,county,aveppbe,shir,4,736619,744021,82,202,69,60.02,6.12,0.333741604,588.04,0.333740711,0.473671669,3600.07,9,405643,0,0
MS,county,schwartzb,shir,4,736619,744021,82,202,69,60.02,6.89,1.855182621,942.73,1.855183885,1.69589672,3600.06,9,221578,0,0
MT,county,invpp,shir,2,539402,544823,56,138,52,0.03,0.79,2.948168713,1.13,2.948168713,2.948168713,0.56,2,1,0,0
MT,county,aveppbe,shir,2,539402,544823,56,138,52,0.03,0.82,0.337593079,4.6,0.339984894,0.339984894,2.7,2,1870,0,0
MT,county,schwartzb,shir,2,539402,544823,56,138,52,0.03,0.8,1.716524341,6.12,1.716526531,1.716526531,1.16,2,513,0,0
NE,county,invpp,shir,3,650566,657103,93,231,87,0.77,4.76,2.440012531,3.13,2.440013343,2.440013343,25.99,2,2406,0,0
NE,county,aveppbe,shir,3,650566,657103,93,231,87,0.8,4.74,0.412780444,31.08,0.412780126,0.412780126,1800.76,2,364341,0,0
NE,county,schwartzb,shir,3,650566,657103,93,231,87,0.76,4.81,1.560638584,32.53,1.560638803,1.560638803,225.19,2,32978,0,0
NM,county,invpp,shir,3,702312,709369,33,78,28,0.18,0.61,2.426776643,1.17,2.426776636,2.426776636,0.42,2,13,0,0
NM,county,aveppbe,shir,3,702312,709369,33,78,28,0.18,0.6,0.413467725,13.42,0.413467407,0.413467407,6.79,2,5467,0,0
NM,county,schwartzb,shir,3,702312,709369,33,78,28,0.18,0.62,1.557140607,11.58,1.557140589,1.557140589,1.51,2,1236,0,0
WV,county,invpp,shir,2,892374,901342,55,125,50,0.05,0.88,5.011144869,0.53,5.011144867,5.011144867,0.6,2,139,0,0
WV,county,aveppbe,shir,2,892374,901342,55,125,50,0.05,0.89,0.236015797,4.86,0.236015797,0.236015797,1.76,2,1332,0,0
WV,county,schwartzb,shir,2,892374,901342,55,125,50,0.05,0.89,2.226428161,5.18,2.226431203,2.226431203,1.63,2,1519,0,0
